Symbol,Time,Open,High,Low,Last,Change,Volume,Open Int
ESH20,1/3/2020 15:59,3235.25,3235.75,3235.25,3235.5,0.25,362,N/A
ESH20,1/3/2020 15:58,3235.25,3235.5,3235,3235.25,0,255,N/A
ESH20,1/3/2020 15:57,3235,3235.25,3235,3235.25,0,92,N/A
ESH20,1/3/2020 15:56,3234.5,3235.25,3234.5,3235.25,0.75,240,N/A
ESH20,1/3/2020 15:55,3235,3235,3234.5,3234.5,-0.75,306,N/A
ESH20,1/3/2020 15:54,3235,3235.25,3234.75,3235.25,0.25,329,N/A
ESH20,1/3/2020 15:53,3235,3235,3234.25,3235,0,329,N/A
ESH20,1/3/2020 15:52,3235,3235,3234.75,3235,0.25,113,N/A
ESH20,1/3/2020 15:51,3235,3235,3234.5,3234.75,-0.25,188,N/A
ESH20,1/3/2020 15:50,3234.75,3235,3234.75,3235,0.25,140,N/A
ESH20,1/3/2020 15:49,3235,3235,3234.75,3234.75,0,245,N/A
ESH20,1/3/2020 15:48,3234.5,3235,3234.5,3234.75,0,182,N/A
ESH20,1/3/2020 15:47,3234.5,3234.75,3234.5,3234.75,0.25,66,N/A
ESH20,1/3/2020 15:46,3234.25,3234.5,3234.25,3234.5,0.25,326,N/A
ESH20,1/3/2020 15:45,3234.5,3234.5,3234.25,3234.25,0,103,N/A
ESH20,1/3/2020 15:44,3234.5,3234.75,3234.25,3234.25,0,213,N/A
ESH20,1/3/2020 15:43,3234.5,3234.5,3234.25,3234.25,-0.25,64,N/A
ESH20,1/3/2020 15:42,3234.5,3234.5,3234.25,3234.5,0,387,N/A
ESH20,1/3/2020 15:41,3234.75,3234.75,3234.5,3234.5,-0.5,197,N/A
ESH20,1/3/2020 15:40,3234.75,3235,3234.75,3235,0.25,106,N/A
ESH20,1/3/2020 15:39,3234.5,3234.75,3234.25,3234.75,0.25,246,N/A
ESH20,1/3/2020 15:38,3234.5,3234.75,3234.5,3234.5,0,157,N/A
ESH20,1/3/2020 15:37,3234.5,3234.75,3234.25,3234.5,-0.25,174,N/A
ESH20,1/3/2020 15:36,3234.5,3234.75,3234.5,3234.75,0.25,198,N/A
ESH20,1/3/2020 15:35,3234.5,3234.5,3234.25,3234.5,0,239,N/A
ESH20,1/3/2020 15:34,3234.75,3235,3234.25,3234.5,-0.25,419,N/A
ESH20,1/3/2020 15:33,3235,3235,3234.75,3234.75,-0.25,104,N/A
ESH20,1/3/2020 15:32,3235,3235.25,3234.75,3235,0,245,N/A
ESH20,1/3/2020 15:31,3235.25,3235.25,3234.5,3235,-0.25,541,N/A
ESH20,1/3/2020 15:30,3235,3235.25,3234.5,3235.25,0,1219,N/A
ESH20,1/3/2020 15:14,3236.75,3237,3235,3235.25,-1.5,6442,N/A
ESH20,1/3/2020 15:13,3236.25,3237,3236.25,3236.75,0.75,2166,N/A
ESH20,1/3/2020 15:12,3235.75,3236.5,3235.75,3236,0,2111,N/A
ESH20,1/3/2020 15:11,3236.5,3236.75,3236,3236,-0.5,1564,N/A
ESH20,1/3/2020 15:10,3236.75,3237,3236.5,3236.5,-0.25,1192,N/A
ESH20,1/3/2020 15:09,3236.5,3237,3236.5,3236.75,0.25,1352,N/A
ESH20,1/3/2020 15:08,3236.75,3237,3236.25,3236.5,0,915,N/A
ESH20,1/3/2020 15:07,3235.75,3237,3235.5,3236.5,0.75,2162,N/A
ESH20,1/3/2020 15:06,3236.75,3236.75,3235.5,3235.75,-0.75,2103,N/A
ESH20,1/3/2020 15:05,3236.25,3237.25,3236,3236.5,0.25,3320,N/A
