symbol,timestamp,tradingDay,open,high,low,close,volume
ESH20,2020-01-23T00:00:00-06:00,1/23/2020,3313.25,3313.5,3312.75,3313.25,431
ESH20,2020-01-23T00:01:00-06:00,1/23/2020,3313.5,3313.75,3313,3313.25,482
ESH20,2020-01-23T00:02:00-06:00,1/23/2020,3313.25,3313.5,3313.25,3313.5,203
ESH20,2020-01-23T00:03:00-06:00,1/23/2020,3313.5,3313.75,3313.5,3313.75,78
ESH20,2020-01-23T00:04:00-06:00,1/23/2020,3313.75,3313.75,3313.25,3313.25,150
ESH20,2020-01-23T00:05:00-06:00,1/23/2020,3313,3314,3313,3313.75,243
ESH20,2020-01-23T00:06:00-06:00,1/23/2020,3314,3314,3313.5,3314,196
ESH20,2020-01-23T00:07:00-06:00,1/23/2020,3314,3314.25,3314,3314.25,71
ESH20,2020-01-23T00:08:00-06:00,1/23/2020,3314,3314.25,3314,3314.25,84
ESH20,2020-01-23T00:09:00-06:00,1/23/2020,3314,3314,3313.5,3313.75,223
ESH20,2020-01-23T00:10:00-06:00,1/23/2020,3313.75,3314.25,3313.75,3314.25,88
ESH20,2020-01-23T00:11:00-06:00,1/23/2020,3314.25,3314.75,3314.25,3314.75,142
ESH20,2020-01-23T00:12:00-06:00,1/23/2020,3314.75,3314.75,3314.25,3314.25,90
ESH20,2020-01-23T00:13:00-06:00,1/23/2020,3314.25,3314.5,3314,3314.5,91
ESH20,2020-01-23T00:14:00-06:00,1/23/2020,3314.5,3314.5,3314.25,3314.25,101
ESH20,2020-01-23T00:15:00-06:00,1/23/2020,3314.5,3314.5,3314,3314,43
ESH20,2020-01-23T00:16:00-06:00,1/23/2020,3314,3314,3313.5,3313.5,166
ESH20,2020-01-23T00:17:00-06:00,1/23/2020,3313.5,3313.75,3313.25,3313.5,98
ESH20,2020-01-23T00:18:00-06:00,1/23/2020,3313.5,3313.5,3313,3313.25,193
ESH20,2020-01-23T00:19:00-06:00,1/23/2020,3313.25,3313.5,3313.25,3313.25,110
ESH20,2020-01-23T00:20:00-06:00,1/23/2020,3313.25,3313.5,3313.25,3313.5,69
ESH20,2020-01-23T00:21:00-06:00,1/23/2020,3313.5,3313.75,3313.25,3313.5,80
ESH20,2020-01-23T00:22:00-06:00,1/23/2020,3313.5,3314,3313.25,3314,106
ESH20,2020-01-23T00:23:00-06:00,1/23/2020,3313.75,3313.75,3313.5,3313.5,106
ESH20,2020-01-23T00:24:00-06:00,1/23/2020,3313.5,3313.75,3313.5,3313.5,89
ESH20,2020-01-23T00:25:00-06:00,1/23/2020,3313.75,3314,3313.5,3313.75,95
ESH20,2020-01-23T00:26:00-06:00,1/23/2020,3314,3314.25,3313.75,3314,114
ESH20,2020-01-23T00:27:00-06:00,1/23/2020,3314,3314.5,3313.75,3314,193
ESH20,2020-01-23T00:28:00-06:00,1/23/2020,3314,3314,3313.5,3313.5,99
ESH20,2020-01-23T00:29:00-06:00,1/23/2020,3313.5,3313.75,3312.75,3313.5,365
ESH20,2020-01-23T00:30:00-06:00,1/23/2020,3313.25,3313.75,3313,3313.25,122
